Pathway,PathwayOrder,SeedGOID,ExpansionMode,RuleLabel,Rationale
BER,1,GO:0006284,pathway_related,BER process,"Base-excision repair plus terms linked through is_a, part_of, or regulation relations."
BER,1,GO:0000012,pathway_related,Single-strand break repair,"Single-strand break repair is retained in the BER/SSBR branch for this seven-pathway scheme."
BER,1,GO:0019104,structural,DNA N-glycosylase activity,"Lesion-removing DNA glycosylases initiate BER."
BER,1,GO:0003906,structural,AP endonuclease activity,"AP-site endonucleases process BER intermediates."
BER,1,GO:0051575,structural,5-prime dRP lyase activity,"5-prime deoxyribose-phosphate lyase activity processes BER intermediates."
BER,1,GO:0106334,exact,3-prime dRP lyase activity,"3-prime deoxyribose-phosphate lyase activity processes blocked DNA ends in the BER/SSBR branch."
BER,1,GO:0070421,exact,DNA ligase III-XRCC1 complex,"The GO definition explicitly states that the DNA ligase III-XRCC1 complex is involved in BER."
NER,2,GO:0006289,pathway_related,NER process,"Nucleotide-excision repair plus terms linked through is_a, part_of, or regulation relations."
NER,2,GO:2000819,structural,NER regulation,"Regulation of nucleotide-excision repair and its subclasses."
NER,2,GO:0000109,structural,NER complex,"Nucleotide-excision repair complexes and their structural subclasses."
NER,2,GO:0097520,structural,NER preincision complex,"The preincision complex is explicitly dedicated to nucleotide-excision repair."
NER,2,GO:1990249,structural,NER damage-recognition complex,"The damage-recognition complex is explicitly dedicated to nucleotide-excision repair."
NER,2,GO:0009380,structural,Excinuclease repair complex,"The UvrABC excinuclease complexes carry out nucleotide-excision repair."
NER,2,GO:0006290,pathway_related,Pyrimidine-dimer repair,"Pyrimidine-dimer repair is assigned to NER in this seven-pathway scheme."
NER,2,GO:0070914,pathway_related,UV-damage excision repair,"UV-damage excision repair is assigned to NER."
NER,2,GO:0033892,structural,Pyrimidine-dimer nuclease activity,"Pyrimidine-dimer excision nuclease activity is assigned to NER."
NER,2,GO:0009381,structural,Excinuclease ABC activity,"Excinuclease ABC activity is the catalytic activity of the bacterial NER excinuclease system."
MMR,3,GO:0006298,pathway_related,MMR process,"Mismatch repair plus terms linked through is_a, part_of, or regulation relations."
MMR,3,GO:0032423,structural,MMR regulation,"Regulation of mismatch repair and its subclasses."
MMR,3,GO:0032300,structural,MMR complex,"Mismatch-repair complexes and their structural subclasses."
MMR,3,GO:0030983,structural,Mismatch recognition,"Mismatch-specific DNA binding and its subclasses."
MMR,3,GO:0032404,structural,MMR complex binding,"Binding terms specific to mismatch-repair complexes."
