figure,output,script,primary_input,display_change,data_contract
Fig_1b,Main/Fig_1b,R/final_figures/02_fig1b_metadata_bubble.R,data/publication_input/mouse_metadata/03_mouse_level_metadata.csv,"Larger labels, titles and legend","761 samples; 48 accessions; 26 tissues"
Fig_1c,Main/Fig_1c,R/final_figures/03_fig1c_fig2_go.R,data/publication_input/go/04_tissue_statistics_concrete_terms_and_context.csv,"Larger horizontal GO labels and longer vertical-title colour bar","390 frozen NES cells"
Fig_2,Main/Fig_2,R/final_figures/03_fig1c_fig2_go.R,data/publication_input/go/13_tissue_pathway_Spearman_rho_matrix.csv,"Horizontal display-only GO labels and larger type","120 lower-triangle rho cells; approved order"
Fig_3a,Main/Fig_3a,R/final_figures/04_upset_membership.R,data/publication_input/venn/04_membership_matrix_thymus_four_comparisons.csv,"Half-height UpSet layout","Exact Ensembl-ID membership; union 884; core 855"
Fig_3b,Main/Fig_3b,python/render_final_common_direction.py,data/publication_input/common_direction/B_thymus_DDR_common_direction_top30_min_abs_log2fc_direction_ordered.csv,"Horizontal and harmonised Flight-Ground labels","30 frozen genes; common-direction ordering"
Fig_4a,Main/Fig_4a,R/final_figures/05_expression_tree_heatmaps.R,data/publication_input/qsmooth/05_component_tissue_yarn_qsmooth_log2_matrix.csv,"Narrow tree panel, English-only labels, larger type and full-layout centred colour bar","29 components; unchanged 1-Spearman average-linkage tree"
Fig_4b,Main/Fig_4b,R/final_figures/06_meta_dotplots.R,data/publication_input/meta/08_essential_components_counts_log2FC_tissue_matrix.csv,"Larger type and pathway strips; vertical meta colour-bar title","26 x 29 frozen values; nominal P display rule"
Fig_5a,Main/Fig_5a,R/final_figures/05_expression_tree_heatmaps.R,data/publication_input/qsmooth/05_component_tissue_yarn_qsmooth_log2_matrix.csv,"Narrow tree panel, English-only labels, larger type and full-layout centred colour bar","45 components; unchanged 1-Spearman average-linkage tree"
Fig_5b,Main/Fig_5b,R/final_figures/06_meta_dotplots.R,results/tables/01_SSB_tissue_meta_log2FC_pvalue_matrix_without_Neil2.csv,"Larger type and pathway strips; vertical meta colour-bar title","26 x 45 frozen values; Neil2 excluded"
Fig_S1,Suppl/Fig_S1,R/figures/02_hallmark_gsea.R,data/publication_input/hallmark/01_global_top_term_figure_selection.csv,"Retained publication renderer","Frozen selected hallmark terms"
Fig_S2a,Suppl/Fig_S2a,R/final_figures/04_upset_membership.R,data/publication_input/venn/04_membership_matrix_kidney_five_datasets.csv,"Reproducible supplementary UpSet","Exact Ensembl-ID membership"
Fig_S2b,Suppl/Fig_S2b,python/render_final_common_direction.py,data/publication_input/common_direction/A_kidney_DDR_common_direction_top30_min_abs_log2fc_direction_ordered.csv,"Retained publication heatmap layout","12 qualifying frozen genes"
Fig_S3a,Suppl/Fig_S3a,R/final_figures/04_upset_membership.R,results/tables/04_membership_matrix_up_tissues.csv,"Reproducible supplementary UpSet","Exact Ensembl-ID membership"
Fig_S3b,Suppl/Fig_S3b,python/render_final_common_direction.py,data/publication_input/common_direction/D_NES_gt1_excl_Kidney_DDR_common_direction_top30_min_abs_log2fc_direction_ordered.csv,"Retained publication heatmap layout","5 qualifying frozen genes"
Fig_S4a,Suppl/Fig_S4a,R/final_figures/04_upset_membership.R,results/tables/04_membership_matrix_down_tissues.csv,"Reproducible supplementary UpSet","Exact Ensembl-ID membership"
Fig_S4b,Suppl/Fig_S4b,python/render_final_common_direction.py,data/publication_input/common_direction/C_NES_lt_minus1_excl_Lung_Thymus_DDR_common_direction_top30_min_abs_log2fc_direction_ordered.csv,"Retained publication heatmap layout","11 qualifying frozen genes"
Fig_S5,Suppl/Fig_S5,R/final_figures/07_figS5_counts.R,results/tables/02_seven_pathway_member_gene_counts_per_source_sample_long.csv,"23-point tissue headings and balanced two-cell legend panel","5327 rows; 26 tissues; 7 pathways; seed 25"
