figure,output,script,primary_input,display_change,data_contract
Fig_1b,Main/Fig_1b,R/final_figures/02_fig1b_metadata_bubble.R,data/publication_input/mouse_metadata/03_mouse_level_metadata.csv,"Larger labels, titles and legend","761 samples; 48 accessions; 26 tissues"
Fig_1c,Main/Fig_1c,R/final_figures/03_fig1c_fig2_go.R,data/publication_input/go/04_tissue_statistics_concrete_terms_and_context.csv,"Larger horizontal GO labels and longer vertical-title colour bar","390 frozen NES cells"
Fig_2,Main/Fig_2,python/plot_log2fc_per_tissue_pathway_spearman_20260902.py,data/publication_input/go/log2fc_spearman_20260902/04_overall_fisher_z_spearman_rho_matrix.csv,Compact GO names,Sample-log2FC Spearman; equal-weight Fisher-z
Fig_3a,Main/Fig_3a,R/final_figures/04_upset_membership.R,data/publication_input/venn/04_membership_matrix_thymus_four_comparisons.csv,"Half-height UpSet layout","Exact Ensembl-ID membership; union 884; core 855"
Fig_3b,Main/Fig_3b,python/render_final_common_direction.py,data/publication_input/common_direction/B_thymus_DDR_common_direction_top30_min_abs_log2fc_direction_ordered.csv,"Horizontal and harmonised Flight-Ground labels","30 frozen genes; common-direction ordering"
Fig_4a,Main/Fig_4a,R/final_figures/05_expression_tree_heatmaps.R,data/publication_input/qsmooth/05_component_tissue_yarn_qsmooth_log2_matrix.csv,"Narrow tree panel, English-only labels, larger type and full-layout centred colour bar","29 components; unchanged 1-Spearman average-linkage tree"
Fig_4e,Main/Fig_4e,R/final_figures/06_meta_dotplots.R,data/publication_input/meta/08_essential_components_counts_log2FC_tissue_matrix.csv,"Larger type and pathway strips; vertical meta colour-bar title","26 x 29 frozen values; nominal P display rule"
Fig_5a,Main/Fig_5a,R/final_figures/05_expression_tree_heatmaps.R,data/publication_input/qsmooth/05_component_tissue_yarn_qsmooth_log2_matrix.csv,"Narrow tree panel, English-only labels, larger type and full-layout centred colour bar","45 components; unchanged 1-Spearman average-linkage tree"
Fig_5f,Main/Fig_5f,R/final_figures/06_meta_dotplots.R,results/tables/01_SSB_tissue_meta_log2FC_pvalue_matrix_without_Neil2.csv,"Larger type and pathway strips; vertical meta colour-bar title","26 x 45 frozen values; Neil2 excluded"
Fig_S1,Suppl/Fig_S1,R/figures/02_hallmark_gsea.R,data/publication_input/hallmark/01_global_top_term_figure_selection.csv,"Retained publication renderer","Frozen selected hallmark terms"
Fig_S2a,Suppl/Fig_S2a,R/final_figures/04_upset_membership.R,data/publication_input/venn/04_membership_matrix_kidney_five_datasets.csv,"Reproducible supplementary UpSet","Exact Ensembl-ID membership"
