figure_stem,outputs,source_script,primary_frozen_input,display_only_change,numeric_contract
Main/Fig_1,"PNG;PDF",R/figures/01_go_overview.R,data/publication_input/go/04_tissue_statistics_concrete_terms_and_context.csv,"Functional-block facets; strongest/FDR-marked cells labelled; no matrix filtering",26 tissues x 15 GO terms unchanged
Main/Fig_2,"PNG;PDF",R/figures/01_go_overview.R,data/publication_input/go/13_tissue_pathway_Spearman_rho_matrix.csv,"Lower-triangle display; approved term order retained",15 x 15 rho matrix unchanged
Main/Fig_3a,"PNG;PDF",R/figures/03_kidney_thymus_venn.R,data/publication_input/venn/04_membership_matrix_thymus_four_comparisons.csv,"UpSet geometry; gold marks all-set core; pseudo-log display axis",4-set Ensembl membership unchanged
Main/Fig_3b,"PNG;PDF",python/plot_common_direction_heatmaps.py,data/publication_input/common_direction/B_thymus_DDR_common_direction_top30_min_abs_log2fc_direction_ordered.csv,"Concise gene labels; shared log2FC colour scale retained",Top-30 rows and displayed log2FC values unchanged
Main/Fig_4a,"PNG;PDF",R/figures/04_qsmooth_tree_heatmaps.R,data/publication_input/qsmooth/05_component_tissue_yarn_qsmooth_log2_matrix.csv,"English tissue labels; no in-cell numbers; sequential expression palette",26 x 29 DSB matrix and tree order unchanged
Main/Fig_4b,"PNG;PDF",R/figures/05_meta_log2fc_heatmaps.R,data/publication_input/meta/08_essential_components_counts_log2FC_tissue_matrix.csv,"Sparse dot matrix; colour=direction and size=absolute effect",Nominal P<0.05 cells and log2FC values unchanged
Main/Fig_5a,"PNG;PDF",R/figures/04_qsmooth_tree_heatmaps.R,data/publication_input/qsmooth/05_component_tissue_yarn_qsmooth_log2_matrix.csv,"English tissue labels; no in-cell numbers; sequential expression palette",26 x 45 SSB matrix and tree order unchanged
Main/Fig_5b,"PNG;PDF",R/figures/05_meta_log2FC_heatmaps.R,results/tables/01_SSB_tissue_meta_log2FC_pvalue_matrix_without_Neil2.csv,"Sparse dot matrix; colour=direction and size=absolute effect","Neil2 exclusion; nominal P<0.05 cells and log2FC values unchanged"
Suppl/Fig_S1,"PNG;PDF",R/figures/02_hallmark_gsea.R,data/publication_input/hallmark/01_global_top_term_figure_selection.csv,"Lollipop summary with direct value labels",12 selected Hallmark terms unchanged
Suppl/Fig_S2a,"PNG;PDF",R/figures/03_kidney_thymus_venn.R,data/publication_input/venn/04_membership_matrix_kidney_five_datasets.csv,"UpSet geometry; gold marks all-set core; pseudo-log display axis",5-set Ensembl membership unchanged
Suppl/Fig_S2b,"PNG;PDF",python/plot_common_direction_heatmaps.py,data/publication_input/common_direction/A_kidney_DDR_common_direction_top30_min_abs_log2fc_direction_ordered.csv,"Concise gene labels; common-direction colours retained",Top-30 rows and displayed log2FC values unchanged
Suppl/Fig_S3a,"PNG;PDF",R/figures/06_go_upsets.R,results/tables/04_membership_matrix_up_tissues.csv,"UpSet core highlight and pseudo-log intersection axis",Exact region counts and union unchanged
Suppl/Fig_S3b,"PNG;PDF",python/plot_common_direction_heatmaps.py,data/publication_input/common_direction/D_NES_gt1_excl_Kidney_DDR_common_direction_top30_min_abs_log2fc_direction_ordered.csv,"Concise gene labels; common-direction colours retained",Top-30 rows and displayed log2FC values unchanged
Suppl/Fig_S4a,"PNG;PDF",R/figures/06_go_upsets.R,results/tables/04_membership_matrix_down_tissues.csv,"UpSet core highlight and pseudo-log intersection axis",Exact region counts and union unchanged
Suppl/Fig_S4b,"PNG;PDF",python/plot_common_direction_heatmaps.py,data/publication_input/common_direction/C_NES_lt_minus1_excl_Lung_Thymus_DDR_common_direction_top30_min_abs_log2fc_direction_ordered.csv,"Concise gene labels; common-direction colours retained",Top-30 rows and displayed log2FC values unchanged
Suppl/Fig_S5,"PNG;PDF",R/figures/07_seven_pathway_counts.R,results/tables/02_seven_pathway_member_gene_counts_per_source_sample_long.csv,"Seven pathway facets; all source-sample points retained",761 source columns and pathway counts unchanged
